ID	chrom	start	end	Name
MI0022584	1	201863373	201863447	hsa-mir-6739
MI0022585	1	202003124	202003236	hsa-mir-6740
MI0000810	1	205448302	205448398	hsa-mir-135b
MI0022706	1	206474803	206474864	hsa-mir-6769b
MI0000735	1	207801852	207801939	hsa-mir-29c
MI0000107	1	207802443	207802523	hsa-mir-29b-2
MI0000285	1	209432133	209432242	hsa-mir-205
MI0015859	1	209623444	209623510	hsa-mir-4260
MI0014138	1	212077613	212077685	hsa-mir-3122
MI0000291	1	220117853	220117962	hsa-mir-215
MI0000488	1	220118157	220118241	hsa-mir-194-1
MI0006442	1	220200538	220200619	hsa-mir-664a
MI0003839	1	224257040	224257110	hsa-mir-320b-2
MI0017380	1	224398227	224398311	hsa-mir-4742
MI0022586	1	225922080	225922142	hsa-mir-6741
MI0017876	1	227941590	227941683	hsa-mir-5008
MI0016011	1	228097263	228097341	hsa-mir-3620
MI0022587	1	228397048	228397109	hsa-mir-6742
MI0017296	1	228462074	228462152	hsa-mir-4666a
MI0006275	1	231019828	231019924	hsa-mir-1182
MI0016766	1	233624152	233624219	hsa-mir-4427
MI0017302	1	234306467	234306539	hsa-mir-4671
MI0017392	1	235190034	235190116	hsa-mir-4753
MI0007258	1	235853000	235853060	hsa-mir-1537
MI0016767	1	237471119	237471191	hsa-mir-4428
MI0014139	1	241132272	241132346	hsa-mir-3123
MI0017308	1	243346176	243346255	hsa-mir-4677
MI0016422	1	247201967	247202060	hsa-mir-3916
MI0014140	1	248826377	248826443	hsa-mir-3124
MI0023618	2	5974662	5974732	hsa-mir-7158
MI0024354	2	6650373	6650439	hsa-mir-7515
MI0015868	2	10192614	10192671	hsa-mir-4261
MI0016768	2	11540605	11540677	hsa-mir-4429
MI0014141	2	11767444	11767525	hsa-mir-548s
MI0015872	2	11836933	11836986	hsa-mir-4262
MI0016082	2	12199130	12199201	hsa-mir-3681
MI0014142	2	12737367	12737444	hsa-mir-3125
MI0017398	2	19348429	19348505	hsa-mir-4757
MI0003815	2	25328640	25328721	hsa-mir-1301
MI0015876	2	27996367	27996449	hsa-mir-4263
MI0003564	2	32532153	32532246	hsa-mir-558
MI0017406	2	32635255	32635331	hsa-mir-4765
MI0016769	2	33418516	33418564	hsa-mir-4430
MI0016770	2	35471405	35471486	hsa-mir-548ad
MI0003565	2	47377675	47377770	hsa-mir-559
MI0025747	2	49059603	49059658	hsa-mir-548ba
MI0027288	2	50696172	50696262	hsa-mir-8485
MI0016771	2	52702522	52702615	hsa-mir-4431
MI0016083	2	53849122	53849205	hsa-mir-3682
MI0000293	2	55982967	55983076	hsa-mir-217
MI0000292	2	55988950	55989059	hsa-mir-216a
MI0005569	2	56000714	56000795	hsa-mir-216b
MI0016772	2	60387362	60387445	hsa-mir-4432
MI0018171	2	62205826	62205917	hsa-mir-5192
MI0025511	2	64340747	64340848	hsa-mir-4433b
MI0016773	2	64340759	64340839	hsa-mir-4433a
MI0016774	2	64525513	64525565	hsa-mir-4434
MI0017422	2	66358249	66358328	hsa-mir-4778
MI0014143	2	69103682	69103755	hsa-mir-3126
MI0006347	2	70252918	70253005	hsa-mir-1285-2
MI0017866	2	75090812	75090914	hsa-mir-5000
MI0015877	2	79649294	79649359	hsa-mir-4264
MI0025916	2	79866495	79866583	hsa-mir-8080
MI0020348	2	85783600	85783677	hsa-mir-6071
MI0017423	2	86193026	86193108	hsa-mir-4779
MI0017412	2	87194786	87194859	hsa-mir-4771-1
MI0016775	2	87629755	87629834	hsa-mir-4435-1
MI0017424	2	88082519	88082599	hsa-mir-4780
MI0016776	2	88812370	88812454	hsa-mir-4436a
MI0014144	2	96798278	96798353	hsa-mir-3127
MI0019303	2	101309450	101309534	hsa-mir-5696
MI0017414	2	102432289	102432366	hsa-mir-4772
MI0015869	2	109141490	109141588	hsa-mir-4265
MI0015870	2	109313571	109313625	hsa-mir-4266
MI0015871	2	110069961	110070042	hsa-mir-4267
MI0017425	2	110086433	110086523	hsa-mir-4436b-1
MI0019110	2	110284853	110284943	hsa-mir-4436b-2
MI0016777	2	111321013	111321086	hsa-mir-4435-2
MI0017413	2	111771061	111771134	hsa-mir-4771-2
MI0006364	2	113582959	113583096	hsa-mir-1302-3
MI0017427	2	113721290	113721368	hsa-mir-4782
MI0017428	2	127423537	127423618	hsa-mir-4783
MI0017429	2	131491160	131491236	hsa-mir-4784
MI0006336	2	132256966	132257080	hsa-mir-663b
MI0032316	2	132433711	132433820	hsa-mir-9986
MI0016080	2	134127125	134127192	hsa-mir-3679
MI0019150	2	134857820	134857873	hsa-mir-5590
MI0000447	2	135665397	135665478	hsa-mir-128-1
MI0023617	2	140586626	140586685	hsa-mir-7157
MI0031827	2	149330278	149330373	hsa-mir-9899
MI0017415	2	151368334	151368411	hsa-mir-4773-1
MI0017416	2	151368334	151368411	hsa-mir-4773-2
MI0022735	2	159186835	159186901	hsa-mir-6888
MI0017430	2	160407810	160407882	hsa-mir-4785
MI0017417	2	168582943	168583018	hsa-mir-4774
MI0005755	2	175167633	175167709	hsa-mir-933
MI0000267	2	176150303	176150412	hsa-mir-10b
MI0025240	2	176188843	176188901	hsa-mir-7704
MI0006381	2	176600980	176601052	hsa-mir-1246
MI0016787	2	177212726	177212799	hsa-mir-4444-1
MI0014145	2	177255945	177256010	hsa-mir-3128
MI0022224	2	177313806	177313882	hsa-mir-6512
MI0006392	2	179860836	179860908	hsa-mir-1258
MI0016778	2	181305593	181305652	hsa-mir-4437
MI0016779	2	184378975	184379044	hsa-mir-548ae-1
MI0003567	2	188297492	188297588	hsa-mir-561
MI0006380	2	188978092	188978161	hsa-mir-1245a
MI0017431	2	188978093	188978161	hsa-mir-1245b
MI0015996	2	188995630	188995692	hsa-mir-3606
MI0014146	2	189133036	189133111	hsa-mir-3129
MI0014147	2	206783234	206783308	hsa-mir-3130-1
MI0014148	2	206783234	206783308	hsa-mir-3130-2
MI0015873	2	207109987	207110073	hsa-mir-2355
MI0025515	2	207166400	207166498	hsa-mir-7845
MI0006365	2	207269275	207269424	hsa-mir-1302-4
MI0017418	2	207754807	207754881	hsa-mir-4775
MI0006375	2	212426263	212426360	hsa-mir-548f-2
MI0017420	2	212926257	212926336	hsa-mir-4776-2
MI0017419	2	212926257	212926336	hsa-mir-4776-1
MI0016781	2	213758067	213758159	hsa-mir-4438
MI0022654	2	217900513	217900628	hsa-mir-6809
MI0022225	2	218280125	218280188	hsa-mir-6513
MI0022655	2	218341911	218341980	hsa-mir-6810
MI0000084	2	218402646	218402722	hsa-mir-26b
MI0029185	2	218823090	218823154	hsa-mir-9500
MI0000783	2	219001645	219001708	hsa-mir-375
MI0014151	2	219058688	219058750	hsa-mir-3131
MI0000463	2	219294111	219294200	hsa-mir-153-1
MI0014152	2	219549073	219549147	hsa-mir-3132
MI0015874	2	219906502	219906565	hsa-mir-4268
MI0016782	2	225010461	225010540	hsa-mir-4439
MI0019309	2	226658710	226658793	hsa-mir-5702
MI0019310	2	227472132	227472187	hsa-mir-5703
MI0017421	2	231362708	231362793	hsa-mir-4777
MI0006379	2	231713314	231713398	hsa-mir-1244-1
MI0007076	2	231892242	231892298	hsa-mir-1471
MI0003568	2	232172653	232172747	hsa-mir-562
MI0017867	2	232550474	232550573	hsa-mir-5001
MI0022656	2	237510931	237510988	hsa-mir-6811
MI0016783	2	239068817	239068914	hsa-mir-4440
MI0016784	2	239085827	239085926	hsa-mir-4441
MI0015875	2	239305462	239305545	hsa-mir-4269
MI0017432	2	239351724	239351804	hsa-mir-2467
MI0017433	2	239943015	239943094	hsa-mir-4786
MI0000478	2	240456001	240456089	hsa-mir-149
MI0014153	2	241477905	241477982	hsa-mir-3133
MI0017437	3	5250177	5250255	hsa-mir-4790
MI0039729	3	10280351	10280452	hsa-mir-12127
MI0014154	3	10330229	10330285	hsa-mir-378b
MI0005560	3	10394489	10394562	hsa-mir-885
MI0015878	3	15496239	15496308	hsa-mir-4270
MI0014155	3	15697298	15697371	hsa-mir-3134
MI0003569	3	15873771	15873849	hsa-mir-563
MI0016135	3	16933196	16933260	hsa-mir-3714
MI0017438	3	19314848	19314931	hsa-mir-4791
MI0014156	3	20137565	20137641	hsa-mir-3135a
MI0016785	3	25664873	25664939	hsa-mir-4442
MI0014157	3	31161704	31161787	hsa-mir-466
MI0022210	3	32506283	32506389	hsa-mir-548ay
MI0000727	3	35744476	35744559	hsa-mir-128-2
MI0000083	3	37969404	37969480	hsa-mir-26a-1
MI0022667	3	39138206	39138266	hsa-mir-6822
MI0000476	3	44114212	44114310	hsa-mir-138-1
MI0003570	3	44861888	44861981	hsa-mir-564
MI0006313	3	47849555	47849629	hsa-mir-1226
MI0016786	3	48196564	48196616	hsa-mir-4443
MI0010634	3	48316360	48316459	hsa-mir-2115
MI0022668	3	48549961	48550021	hsa-mir-6823
MI0012488	3	48578902	48578977	hsa-mir-711
MI0022669	3	48633636	48633698	hsa-mir-6824
MI0017440	3	48644194	48644280	hsa-mir-4793
MI0001448	3	49020148	49020234	hsa-mir-425
MI0000465	3	49020618	49020709	hsa-mir-191
MI0022737	3	49099854	49099914	hsa-mir-6890
MI0015879	3	49274120	49274186	hsa-mir-4271
MI0018172	3	49806137	49806245	hsa-mir-5193
MI0019797	3	50227436	50227490	hsa-mir-5787
MI0022719	3	50273236	50273297	hsa-mir-6872
MI0017434	3	50675080	50675163	hsa-mir-4787
MI0000433	3	52268278	52268361	hsa-let-7g
MI0000452	3	52294219	52294308	hsa-mir-135a-1
MI0025900	3	52846463	52846552	hsa-mir-8064
MI0016594	3	55852492	55852594	hsa-mir-3938
MI0029321	3	60617805	60617870	hsa-mir-548bb
MI0015880	3	67225464	67225527	hsa-mir-4272
MI0014158	3	69048958	69049035	hsa-mir-3136
MI0006431	3	71541970	71542089	hsa-mir-1284
MI0019111	3	75214476	75214549	hsa-mir-4444-2
MI0006657	3	75630763	75630858	hsa-mir-1324
MI0015881	3	75738280	75738363	hsa-mir-4273
MI0016430	3	79507887	79507969	hsa-mir-3923
MI0019292	3	85385710	85385792	hsa-mir-5688
MI0017442	3	87226189	87226277	hsa-mir-4795
MI0025896	3	96359964	96360039	hsa-mir-8060
MI0016428	3	99964314	99964398	hsa-mir-3921
MI0016752	3	103524033	103524116	hsa-mir-548ab
MI0016788	3	109602828	109602897	hsa-mir-4445
MI0003573	3	112112801	112112898	hsa-mir-567
MI0031828	3	112737089	112737181	hsa-mir-9900
MI0025912	3	113432118	113432200	hsa-mir-8076
MI0016789	3	113594876	113594942	hsa-mir-4446
MI0003574	3	114316475	114316569	hsa-mir-568
MI0017443	3	114743445	114743525	hsa-mir-4796
MI0016790	3	116850277	116850367	hsa-mir-4447
MI0039501	3	120084564	120084648	hsa-mir-6529
MI0000240	3	120395668	120395729	hsa-mir-198
MI0019282	3	121049640	121049715	hsa-mir-5682
MI0022961	3	123161794	123161879	hsa-mir-7110
MI0017868	3	124132929	124133025	hsa-mir-5002
MI0020360	3	124374332	124374437	hsa-mir-6083
MI0014159	3	124732439	124732516	hsa-mir-544b
MI0017981	3	125151465	125151552	hsa-mir-5092
MI0006421	3	125790404	125790552	hsa-mir-548i-1
MI0022670	3	127575266	127575331	hsa-mir-6825
MI0025752	3	127587111	127587176	hsa-mir-7976
MI0039726	3	128846808	128846908	hsa-mir-12124
MI0022671	3	129272146	129272243	hsa-mir-6826
MI0019312	3	131985855	131985931	hsa-mir-5704
MI0022672	3	134367804	134367862	hsa-mir-6827
MI0017435	3	134437827	134437906	hsa-mir-4788
MI0018165	3	151565876	151565995	hsa-mir-5186
MI0016425	3	159282646	159282734	hsa-mir-3919
MI0000438	3	160404588	160404685	hsa-mir-15b
MI0000115	3	160404745	160404825	hsa-mir-16-2
MI0006398	3	164171471	164171556	hsa-mir-1263
MI0003575	3	168551854	168551949	hsa-mir-551b
MI0022673	3	170423103	170423162	hsa-mir-6828
MI0003576	3	171106664	171106759	hsa-mir-569
MI0017436	3	175369540	175369621	hsa-mir-4789
MI0025753	3	176515103	176515151	hsa-mir-7977
MI0016791	3	183886800	183886885	hsa-mir-4448
MI0003764	3	184241405	184241489	hsa-mir-1224
MI0019147	3	185253210	185253272	hsa-mir-5588
MI0019130	3	185767847	185767904	hsa-mir-548aq
MI0006383	3	186786672	186786777	hsa-mir-1248
MI0000086	3	188688781	188688866	hsa-mir-28
MI0005769	3	189829922	189830009	hsa-mir-944
MI0014160	3	195134506	195134580	hsa-mir-3137
MI0003577	3	195699401	195699497	hsa-mir-570
MI0022674	3	195882329	195882395	hsa-mir-6829
MI0017444	3	197293878	197293948	hsa-mir-4797
MI0005714	3	197674496	197674576	hsa-mir-922
MI0003578	4	350157	350252	hsa-mir-571
MI0005768	4	1986384	1986477	hsa-mir-943
MI0017448	4	2250077	2250156	hsa-mir-4800
MI0016749	4	5923275	5923328	hsa-mir-378d-1
MI0017445	4	7310450	7310524	hsa-mir-4798
MI0015884	4	7460028	7460118	hsa-mir-4274
MI0000097	4	8005301	8005381	hsa-mir-95
MI0006422	4	9556168	9556316	hsa-mir-548i-2
MI0014161	4	10078611	10078692	hsa-mir-3138
MI0003579	4	11368827	11368921	hsa-mir-572
MI0039715	4	11783178	11783248	hsa-mir-12113
MI0017980	4	13627865	13627957	hsa-mir-5091
MI0000294	4	20528275	20528384	hsa-mir-218-1
MI0025754	4	21464700	21464758	hsa-mir-7978
MI0039717	4	22515312	22515385	hsa-mir-12115
MI0003580	4	24520192	24520290	hsa-mir-573
MI0015883	4	28819582	28819668	hsa-mir-4275
MI0006435	4	36426366	36426428	hsa-mir-1255b-1
MI0017449	4	37241910	37241991	hsa-mir-4801
MI0003581	4	38868032	38868127	hsa-mir-574
MI0019151	4	39411910	39411974	hsa-mir-5591
MI0017450	4	40502040	40502119	hsa-mir-4802
MI0025889	4	47652669	47652743	hsa-mir-8053
MI0016792	4	52712682	52712747	hsa-mir-4449
MI0016793	4	60922619	60922684	hsa-mir-548ag-1
MI0006406	4	66276824	66276928	hsa-mir-1269a
MI0016795	4	76573568	76573632	hsa-mir-4450
MI0016796	4	76575551	76575626	hsa-mir-548ah
MI0003582	4	82753337	82753430	hsa-mir-575
MI0016797	4	85722468	85722533	hsa-mir-4451
MI0016798	4	86542482	86542552	hsa-mir-4452
MI0019313	4	87300495	87300583	hsa-mir-5705
MI0016085	4	98997387	98997460	hsa-mir-3684
MI0025902	4	101240795	101240872	hsa-mir-8066
MI0006389	4	101330302	101330414	hsa-mir-1255a
MI0003583	4	109488698	109488795	hsa-mir-576
MI0005775	4	110860582	110860647	hsa-mir-297
MI0000775	4	112647874	112647941	hsa-mir-367
MI0000774	4	112648004	112648071	hsa-mir-302d
MI0000738	4	112648183	112648251	hsa-mir-302a
MI0000773	4	112648363	112648430	hsa-mir-302c
MI0000772	4	112648485	112648557	hsa-mir-302b
MI0006373	4	113106863	113106955	hsa-mir-1243
MI0025918	4	113152282	113152362	hsa-mir-8082
MI0003584	4	114656759	114656854	hsa-mir-577
MI0010488	4	125507259	125507307	hsa-mir-2054
MI0014162	4	143343460	143343535	hsa-mir-3139
MI0025519	4	146408583	146408688	hsa-mir-7849
MI0006395	4	147344629	147344717	hsa-mir-548g
MI0017446	4	147782595	147782668	hsa-mir-4799
MI0014163	4	152489327	152489416	hsa-mir-3140
MI0016799	4	152536428	152536516	hsa-mir-4453
MI0016089	4	159128802	159128894	hsa-mir-3688-1
MI0017447	4	159128805	159128891	hsa-mir-3688-2
MI0016800	4	163093574	163093628	hsa-mir-4454
MI0003585	4	165386242	165386337	hsa-mir-578
MI0020359	4	171186184	171186292	hsa-mir-6082
MI0014164	4	173268160	173268233	hsa-mir-548t
MI0015882	4	174423795	174423864	hsa-mir-4276
MI0006372	4	182169293	182169378	hsa-mir-1305
MI0016602	4	184851013	184851110	hsa-mir-3945
MI0016801	4	184938383	184938440	hsa-mir-4455
MI0017262	5	1062896	1062974	hsa-mir-4635
MI0016803	5	1309310	1309377	hsa-mir-4457
MI0020352	5	1510762	1510856	hsa-mir-6075
MI0015886	5	1708785	1708868	hsa-mir-4277
MI0015888	5	6827853	6827921	hsa-mir-4278
MI0016804	5	8460925	8460999	hsa-mir-4458
MI0017263	5	9053816	9053895	hsa-mir-4636
MI0033421	5	10402364	10402431	hsa-mir-10397
MI0021276	5	10478037	10478145	hsa-mir-6131
MI0017264	5	14825929	14826012	hsa-mir-4637
MI0005562	5	15935182	15935260	hsa-mir-887
MI0033668	5	17155930	17155992	hsa-mir-10522
MI0015887	5	31936102	31936159	hsa-mir-4279
MI0003586	5	32394378	32394475	hsa-mir-579
MI0003587	5	36147892	36147988	hsa-mir-580
MI0016050	5	38557502	38557561	hsa-mir-3650
MI0003588	5	53951504	53951599	hsa-mir-581
MI0001648	5	55170532	55170622	hsa-mir-449a
MI0003673	5	55170646	55170742	hsa-mir-449b
MI0003823	5	55172262	55172353	hsa-mir-449c
MI0019291	5	55508850	55508926	hsa-mir-5687
MI0016780	5	58530043	58530109	hsa-mir-548ae-2
MI0003589	5	59703606	59703703	hsa-mir-582
MI0017451	5	72169467	72169540	hsa-mir-4803
MI0017452	5	72878591	72878663	hsa-mir-4804
MI0016995	5	82840155	82840224	hsa-mir-3977
MI0015889	5	87114879	87114954	hsa-mir-4280
MI0000467	5	88666853	88666939	hsa-mir-9-2
MI0016061	5	90016621	90016720	hsa-mir-3660
MI0011284	5	93620696	93620788	hsa-mir-2277
MI0003590	5	96079138	96079212	hsa-mir-583
MI0006420	5	100816482	100816565	hsa-mir-548p
MI0006376	5	110513829	110513915	hsa-mir-548f-3
MI0039732	5	116255743	116255834	hsa-mir-12130
MI0015974	5	118974586	118974670	hsa-mir-1244-2
MI0019314	5	119154637	119154716	hsa-mir-5706
MI0017260	5	129097688	129097766	hsa-mir-4633
MI0016806	5	129397062	129397147	hsa-mir-4460
MI0022675	5	132217849	132217918	hsa-mir-6830
MI0016592	5	132365490	132365599	hsa-mir-3936
MI0006351	5	133427596	133427706	hsa-mir-1289-2
MI0016062	5	134225757	134225852	hsa-mir-3661
MI0019288	5	135802985	135803075	hsa-mir-5692c-1
MI0005532	5	137647572	137647649	hsa-mir-874
MI0022676	5	140563671	140563751	hsa-mir-6831
MI0016055	5	140647844	140647926	hsa-mir-3655
MI0018176	5	143679860	143679971	hsa-mir-5197
MI0003591	5	149062313	149062409	hsa-mir-584
MI0000459	5	149428918	149429023	hsa-mir-143
MI0000461	5	149430646	149430733	hsa-mir-145
MI0000786	5	149732825	149732890	hsa-mir-378a
MI0022209	5	151522087	151522148	hsa-mir-6499
MI0006356	5	154347106	154347247	hsa-mir-1294
MI0014165	5	154596012	154596072	hsa-mir-3141
MI0006370	5	154685776	154685861	hsa-mir-1303
MI0016808	5	154829458	154829540	hsa-mir-378h
MI0014166	5	160474402	160474483	hsa-mir-3142
MI0000477	5	160485352	160485450	hsa-mir-146a
MI0039727	5	168165845	168165929	hsa-mir-12125
MI0000109	5	168560896	168560973	hsa-mir-103a-1
MI0007261	5	168560904	168560965	hsa-mir-103b-1
MI0000295	5	168768146	168768255	hsa-mir-218-2
MI0003592	5	169263601	169263694	hsa-mir-585
MI0016750	5	170028488	170028566	hsa-mir-378e
MI0016416	5	171386656	171386760	hsa-mir-3912
MI0017869	5	172662165	172662263	hsa-mir-5003
MI0033669	5	172915083	172915158	hsa-mir-10523
MI0039720	5	173303730	173303817	hsa-mir-12118
MI0025892	5	173347455	173347536	hsa-mir-8056
MI0017261	5	174751734	174751787	hsa-mir-4634
MI0003814	5	176367946	176368031	hsa-mir-1271
MI0015885	5	176629439	176629500	hsa-mir-4281
MI0006319	5	179798278	179798346	hsa-mir-1229
MI0000802	5	180015303	180015397	hsa-mir-340
MI0025925	5	181043403	181043484	hsa-mir-8089
MI0017265	5	181222566	181222633	hsa-mir-4638
MI0022555	6	1390314	1390411	hsa-mir-6720
MI0017272	6	2854031	2854107	hsa-mir-4645
MI0016092	6	5148233	5148322	hsa-mir-3691
MI0025523	6	6169304	6169435	hsa-mir-7853
MI0019284	6	6169334	6169409	hsa-mir-5683
MI0019294	6	10439717	10439794	hsa-mir-5689
MI0017266	6	16141556	16141624	hsa-mir-4639
MI0003593	6	18571784	18571880	hsa-mir-548a-1
MI0014167	6	27147626	27147688	hsa-mir-3143
MI0005561	6	30584332	30584417	hsa-mir-877
MI0017267	6	30890883	30890972	hsa-mir-4640
MI0022738	6	31355224	31355316	hsa-mir-6891
MI0022677	6	31633787	31633858	hsa-mir-6832
MI0017273	6	31701029	31701091	hsa-mir-4646
MI0006326	6	31956839	31956940	hsa-mir-1236
MI0022556	6	32170030	32170116	hsa-mir-6721
MI0022678	6	32179816	32179876	hsa-mir-6833
MI0016809	6	32749912	32749979	hsa-mir-3135b
MI0000296	6	33207835	33207944	hsa-mir-219a-1
MI0022720	6	33287227	33287289	hsa-mir-6873
MI0022679	6	33290245	33290325	hsa-mir-6834
MI0017870	6	33438331	33438437	hsa-mir-5004
MI0016590	6	33698128	33698234	hsa-mir-3934
MI0023620	6	33899135	33899200	hsa-mir-7159
MI0006415	6	33999972	34000051	hsa-mir-1275
MI0022680	6	34240673	34240736	hsa-mir-6835
MI0022962	6	35470508	35470579	hsa-mir-7111
