	as	ag	aa	ac	bca	bceh	bco	bhi	fib	colt	hlv	ms	sse	wb
SMNABTCHD_174								0.01117631524687509						
SMNABTCHD_182									0.04337300515833301					
SMNABTCHD_185		0.010217377206522084		0.018793606101465857										
SMNABTCHD_187									0.01603165767060858					
SMNABTCHD_189							0.011525475946194063							
SMNABTCHD_190	0.011767633653347338			0.05558029537154294										
SMNABTCHD_2		0.012450340730443314												
SMNABTCHD_20						0.013791689939141927								
SMNABTCHD_208			0.030295473573493974											
SMNABTCHD_211			0.010413030468783478	0.014426057987304041										
SMNABTCHD_212										0.010340288478582225				
SMNABTCHD_227				0.012433226180604847										
SMNABTCHD_231		0.010827500733226147		0.012840426152115515										
SMNABTCHD_237							0.01700192774356387							
SMNABTCHD_24								0.023740638335357663						
SMNABTCHD_265							0.011421106892988577							
SMNABTCHD_279												0.01205682720471269		
SMNABTCHD_283							0.013948347361704796							
SMNABTCHD_298					0.010835654331325082									
SMNABTCHD_312		0.010319171462976432												
SMNABTCHD_32				0.011049695869421205										
SMNABTCHD_343											0.011144082428686388			
SMNABTCHD_36										0.010237932445063687				
SMNABTCHD_363							0.010213182953026532							
SMNABTCHD_385						0.010178337112780959								
SMNABTCHD_390											0.017237973287306835			
SMNABTCHD_391		0.013673689938396693												
SMNABTCHD_396						0.013266939438056775								
SMNABTCHD_422												0.013210767837049877		
SMNABTCHD_43					0.021910560912211635			0.017182733584928774						
SMNABTCHD_442									0.014601176343111592					
SMNABTCHD_47						0.015599764643388464								
SMNABTCHD_475								0.0136879877726714						
SMNABTCHD_482		0.01915761796300356												
SMNABTCHD_486														0.01005141405480067
SMNABTCHD_49							0.010837202796137995							
SMNABTCHD_491					0.013816442779638557			0.012514263582691051						
SMNABTCHD_531				0.012429746438910396										
SMNABTCHD_532					0.011405911344929884									
SMNABTCHD_54										0.011618428126280774				
SMNABTCHD_56							0.011819035222742857							
SMNABTCHD_560								0.0120551045811486						
SMNABTCHD_567									0.016372556984938794					
SMNABTCHD_574														0.010130345436991905
SMNABTCHD_581								0.010149330692736132						
SMNABTCHD_583												0.010441615059665496		
SMNABTCHD_586								0.010390478613421397						
SMNABTCHD_589									0.010274457306432205					
SMNABTCHD_59		0.013180145184505004												
SMNABTCHD_599											0.010954477431798625			
SMNABTCHD_609								0.010577485340004307						
SMNABTCHD_611					0.01329965510889575			0.014726861449357656						
SMNABTCHD_614									0.011847666781860862					
SMNABTCHD_615						0.025196488572994304		0.010196073258996659						
SMNABTCHD_617							0.015731261795295153							
SMNABTCHD_634					0.010526007766962907									
SMNABTCHD_64						0.013308960491550764		0.010827159110034287						
SMNABTCHD_652														0.012120820225034145
SMNABTCHD_665										0.01001031210600194				
SMNABTCHD_67							0.016285742423934782			0.013135135765767164				
SMNABTCHD_691		0.012973354760705796												
SMNABTCHD_7					0.010908576491796006									
SMNABTCHD_78								0.019108481067464524						
SMNABTCHD_84						0.016423255252324055								
SMNABTCHD_94							0.019217383102574433							
SMNABTCHD_96					0.014120800458061621									
SMNABTCHD_97		0.01321233773031262						0.013630383659127547						
SMNABTCHD_98				0.02348635242069342										
SMNABTCHT_0				0.012176349214914738			0.012218171362381396			0.019177925814100317	0.010351507576048928			
SMNABTCHT_3				0.012176349214914738			0.012218171362381396			0.019177925814100317	0.010351507576048928			
SMNABTCH_1014								0.010149330692736132						
SMNABTCH_1023												0.022481905328129805		
SMNABTCH_1032														0.010130345436991905
SMNABTCH_1040								0.010390478613421397						
SMNABTCH_1043									0.010274457306432205					
SMNABTCH_1068											0.010954477431798625			
SMNABTCH_1089								0.010577485340004307						
SMNABTCH_1093					0.01329965510889575			0.014726861449357656						
SMNABTCH_1097									0.011847666781860862					
SMNABTCH_1098						0.025196488572994304		0.010196073258996659						
SMNABTCH_1102							0.015731261795295153							
SMNABTCH_1131					0.010526007766962907									
SMNABTCH_1165														0.012120820225034145
SMNABTCH_117							0.011819035222742857							
SMNABTCH_1183										0.01001031210600194				
SMNABTCH_1206				0.011049695869421205										
SMNABTCH_1229		0.012973354760705796												
SMNABTCH_1246		0.013180145184505004												
SMNABTCH_129							0.017049004619838368							
SMNABTCH_133						0.016423255252324055								
SMNABTCH_138					0.021360375602125076									
SMNABTCH_142				0.02348635242069342										
SMNABTCH_143								0.012088026246490649						
SMNABTCH_146							0.011511787841425427							
SMNABTCH_148					0.011306909456989091									
SMNABTCH_149								0.013630383659127547						
SMNABTCH_150								0.011102443985704594						
SMNABTCH_152		0.01321233773031262												
SMNABTCH_154					0.010552578346104891									
SMNABTCH_171								0.023740638335357663						
SMNABTCH_172											0.01050471396772167			
SMNABTCH_173							0.016285742423934782							
SMNABTCH_176					0.011138770905100072									
SMNABTCH_187								0.012453744656830168						
SMNABTCH_19					0.01210360742932788									
SMNABTCH_191												0.015782871687655523		
SMNABTCH_195		0.039662922085381254					0.011068547166574079							
SMNABTCH_198										0.011731730357439246				
SMNABTCH_2		0.012450340730443314												
SMNABTCH_215													0.01066231074029458	
SMNABTCH_216											0.017210517947802016			
SMNABTCH_22						0.013791689939141927								
SMNABTCH_222					0.0110126739230913									
SMNABTCH_238			0.019197754461011286											
SMNABTCH_241							0.014670440299602064							
SMNABTCH_245					0.011748972816388682									
SMNABTCH_246					0.01609067630188736									
SMNABTCH_296						0.01145096829959862								
SMNABTCH_306								0.01117631524687509						
SMNABTCH_307									0.01278124258107657					
SMNABTCH_318									0.011688731455441656					
SMNABTCH_321		0.010217377206522084		0.018793606101465857										
SMNABTCH_325							0.011525475946194063							
SMNABTCH_326	0.011767633653347338			0.05558029537154294										
SMNABTCH_327									0.020215667636042472					
SMNABTCH_347									0.01603165767060858					
SMNABTCH_350			0.030295473573493974											
SMNABTCH_355			0.010413030468783478	0.014426057987304041										
SMNABTCH_356										0.010340288478582225				
SMNABTCH_364									0.011057532632461013					
SMNABTCH_367						0.011845552229375264		0.01593325008950216						
SMNABTCH_374				0.012433226180604847										
SMNABTCH_377								0.015526486900550852						
SMNABTCH_379		0.010827500733226147		0.012840426152115515										
SMNABTCH_385							0.01700192774356387							
SMNABTCH_4				0.021300572008157107										
SMNABTCH_41										0.010237932445063687				
SMNABTCH_426							0.011421106892988577							
SMNABTCH_446												0.01205682720471269		
SMNABTCH_450							0.013948347361704796							
SMNABTCH_46					0.01153808361242941	0.01540831472967002								
SMNABTCH_470					0.010835654331325082									
SMNABTCH_487		0.010319171462976432												
SMNABTCH_50					0.021910560912211635									
SMNABTCH_519											0.011144082428686388			
SMNABTCH_542							0.010213182953026532							
SMNABTCH_55						0.015599764643388464								
SMNABTCH_569						0.010178337112780959								
SMNABTCH_57								0.014672014412425164						
SMNABTCH_577											0.017237973287306835			
SMNABTCH_581		0.013673689938396693												
SMNABTCH_584					0.010683592477123182									
SMNABTCH_593								0.01066008466662201						
SMNABTCH_60							0.010837202796137995							
SMNABTCH_631			0.01007103561655916											
SMNABTCH_647												0.013210767837049877		
SMNABTCH_66		0.010678601044540572												
SMNABTCH_691									0.014601176343111592					
SMNABTCH_721						0.013266939438056775								
SMNABTCH_764								0.0136879877726714						
SMNABTCH_779		0.01915761796300356												
SMNABTCH_78						0.017718593200779884								
SMNABTCH_79					0.010908576491796006									
SMNABTCH_799														0.01005141405480067
SMNABTCH_804					0.013816442779638557			0.012514263582691051						
SMNABTCH_890				0.012429746438910396										
SMNABTCH_891					0.01395670559742998									
SMNABTCH_957								0.0120551045811486						
SMNABTCH_973									0.016372556984938794					
SMNABTCH_98								0.014131579144456077						
SMNTERRT		0.0828216631576784	0.05558332974916714	0.019386626088657544	0.02752555732257508	0.02969864954089753				0.013417519648610541		0.052174153454713254	0.020256905252297387	0.03940135507380696
SMNTRART		0.08137893416526149	0.05557162249608641	0.019850243726572774	0.028267287027718028	0.02988113744022613						0.05178460209182171	0.02018984398746294	0.03760531389907797
SMNTRNRT	0.09692863946335128	0.0610915668727415	0.2400004630526227	0.1651213071782455	0.06935442251044624	0.0887662584809336	0.02284601099940413	0.1520696977996984	0.06165741375335533		0.07343428463485394	0.14775558477193418	0.1728662449133601	0.1685126146446371
SMRDTTL							0.013405007417813999		0.05899183060956129		0.019842381813470672			
SMRIN	0.012258067898229339	0.15425769922207208	0.03413641903285479	0.0423883334415625	0.0826347309940723	0.05879458591461554	0.04442017974125366	0.024453016123899024	0.012728094154524092	0.08065554365444337	0.2207402801341734	0.02153606303177956	0.013182082034033262	0.06172094841111577
SMRRNANM		0.0738725365239104		0.02353454347641157	0.11490147947139986	0.06806581395861176	0.1259589586779882	0.03131456717349274	0.031349276303414414	0.06746460610621186	0.15627008084384508			0.01480311153355318
SMRRNART		0.08007668363649847	0.011356812043273708	0.02954267164956333	0.15231817112730286	0.07657850082362017	0.17213686351436105	0.04086367598259909	0.11085497158341244	0.16842808666114711	0.21894982649303688			0.012523189571427335
SMSFLGTH			0.013336398246861603	0.015828331080739836	0.02493109865221644	0.01672333692415625	0.010725036875880006		0.053566651460851364	0.022055191876002248	0.010137134208838706	0.01076667262087719		0.011478559273906274
SMSPLTRD		0.03835944865277713	0.03216307666860205	0.024282957060301546	0.040836336659486314	0.026722626269090773	0.06951893427507688	0.02457216615033803	0.09178178920696438		0.20258979982786612	0.015280018940356153		0.037331246656054404
SMTRSCPT	0.03322589411198373	0.01831565049956287	0.055735707414258435	0.06738939333107415	0.036634880688204294	0.014029934794679918	0.03223666901656225	0.01251112485667812	0.01615416919204707		0.04028131567631943	0.06396482814425271	0.08760443802215105	0.10562210854584529
SMTSISCH	0.07023341381812447	0.1309553791616888	0.10213508533322463	0.08743973791255606						0.15999491869384944	0.163897117489366	0.05481964901915361	0.023539667370463622	0.12098198711850863
TRCHSTIND	0.090938555973244	0.15684191634323044	0.13002281944199426	0.09215789680876633		0.012431802936174961				0.15587499411177375	0.19374139335922114	0.0739477865327618	0.024029902915932988	0.15594582051901043
TRCRTMP	0.018537277961558005		0.016400659989794165	0.015243671356797172	0.015988822027856626	0.01472771739220769		0.014534672749097224			0.036624905272018754	0.017071563511090616		
TRDNISCH	0.07784858862223612	0.12329313904300099	0.10573066458538648	0.0866601731966393		0.011335360298114813				0.1571648183011085	0.16015947910595807	0.06220414970401723	0.024789394378558562	0.11659692240157188
TRISCHD	0.07920983431092461	0.13397460391552166	0.11077054695117268	0.089144307630984		0.01141277201806804				0.1580392324841385	0.1745122355422836	0.06436943969997215	0.023756350563351392	0.12506891564254782
platform							0.012720965614127723			0.012255890887091805				
